Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
mixer_b16_224.miil_in21k_ft_in1k,224,82.31,87.215,71.2,36.253,18.547,95.36,47.853,94.9,https://huggingface.co/timm/mixer_b16_224.miil_in21k_ft_in1k
mixer_l16_224.goog_in21k_ft_in1k,224,72.09,77.319,56.16,20.142,5.92,87.18,26.777,87.0,https://huggingface.co/timm/mixer_l16_224.goog_in21k_ft_in1k
mixnet_l.ft_in1k,224,78.97,84.818,67.06,25.528,8.867,93.42,38.237,93.27,https://huggingface.co/timm/mixnet_l.ft_in1k
mixnet_m.ft_in1k,224,77.274,83.519,64.75,23.687,6.707,92.42,35.66,92.27,https://huggingface.co/timm/mixnet_m.ft_in1k
mixnet_s.ft_in1k,224,76.002,82.525,63.5,21.417,4.92,91.95,33.62,91.82,https://huggingface.co/timm/mixnet_s.ft_in1k
mixnet_xl.ra_in1k,224,80.49,85.806,69.08,28.275,12.973,94.2,39.563,94.25,https://huggingface.co/timm/mixnet_xl.ra_in1k
mnasnet_100.rmsp_in1k,224,74.662,81.481,62.08,21.37,3.133,90.65,33.873,91.26,https://huggingface.co/timm/mnasnet_100.rmsp_in1k
mnasnet_small.lamb_in1k,224,66.196,73.805,53.13,16.628,1.76,84.37,28.99,85.49,https://huggingface.co/timm/mnasnet_small.lamb_in1k
mobilenet_edgetpu_v2_m,224,80.118,85.983,69.2,31.557,11.347,94.3,43.17,94.17,https://huggingface.co/timm/mobilenet_edgetpu_v2_m
mobilenet_edgetpu_v2_m,256,80.682,86.502,69.95,31.219,13.587,94.96,42.957,94.56,https://huggingface.co/timm/mobilenet_edgetpu_v2_m
mobilenet_edgetpu_v2_m.ra4_e3600_r224_in1k,224,80.13,86.0,69.18,31.573,11.32,94.32,43.147,94.17,https://huggingface.co/timm/mobilenet_edgetpu_v2_m.ra4_e3600_r224_in1k
mobilenet_edgetpu_v2_m.ra4_e3600_r224_in1k,256,80.684,86.483,69.91,31.221,13.627,94.96,42.973,94.55,https://huggingface.co/timm/mobilenet_edgetpu_v2_m.ra4_e3600_r224_in1k
mobilenetv1_100.ra4_e3600_r224_in1k,224,75.384,82.296,62.94,24.795,4.173,91.18,35.713,91.35,https://huggingface.co/timm/mobilenetv1_100.ra4_e3600_r224_in1k
mobilenetv1_100.ra4_e3600_r224_in1k,256,76.086,82.93,63.88,24.797,4.6,92.09,35.787,92.08,https://huggingface.co/timm/mobilenetv1_100.ra4_e3600_r224_in1k
mobilenetv1_100h.ra4_e3600_r224_in1k,224,75.658,82.405,62.76,25.465,4.227,91.38,36.47,91.65,https://huggingface.co/timm/mobilenetv1_100h.ra4_e3600_r224_in1k
mobilenetv1_100h.ra4_e3600_r224_in1k,256,76.594,83.161,64.35,25.316,5.093,92.23,36.79,92.35,https://huggingface.co/timm/mobilenetv1_100h.ra4_e3600_r224_in1k
mobilenetv1_125.ra4_e3600_r224_in1k,224,76.928,83.276,64.41,26.387,4.92,91.95,37.753,92.08,https://huggingface.co/timm/mobilenetv1_125.ra4_e3600_r224_in1k
mobilenetv1_125.ra4_e3600_r224_in1k,256,77.584,83.912,65.64,26.338,5.96,92.68,37.763,92.47,https://huggingface.co/timm/mobilenetv1_125.ra4_e3600_r224_in1k
mobilenetv2_050.lamb_in1k,224,65.93,73.44,52.99,16.721,1.64,83.94,28.7,84.99,https://huggingface.co/timm/mobilenetv2_050.lamb_in1k
mobilenetv2_100.ra_in1k,224,72.936,80.24,60.22,20.761,2.187,89.63,32.597,89.88,https://huggingface.co/timm/mobilenetv2_100.ra_in1k
mobilenetv2_110d.ra_in1k,224,75.054,82.068,62.67,23.07,3.133,91.0,35.3,91.32,https://huggingface.co/timm/mobilenetv2_110d.ra_in1k
mobilenetv2_120d.ra_in1k,224,77.298,83.904,64.93,24.921,4.467,92.48,36.727,92.66,https://huggingface.co/timm/mobilenetv2_120d.ra_in1k
mobilenetv2_140.ra_in1k,224,76.528,83.191,63.86,23.693,3.653,91.83,36.01,92.08,https://huggingface.co/timm/mobilenetv2_140.ra_in1k
mobilenetv3_large_100.miil_in21k_ft_in1k,224,77.91,83.537,65.67,26.53,8.693,92.25,37.253,92.23,https://huggingface.co/timm/mobilenetv3_large_100.miil_in21k_ft_in1k
mobilenetv3_large_100.ra_in1k,224,75.786,82.159,63.32,22.691,5.067,91.34,34.673,91.47,https://huggingface.co/timm/mobilenetv3_large_100.ra_in1k
