Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
rdnet_large.nv_in1k_ft_in1k_384,384,85.848,89.487,76.52,45.342,56.72,97.67,57.85,97.04,https://huggingface.co/timm/rdnet_large.nv_in1k_ft_in1k_384
rdnet_small.nv_in1k,224,83.668,88.268,73.8,39.83,33.547,96.33,52.747,95.82,https://huggingface.co/timm/rdnet_small.nv_in1k
rdnet_tiny.nv_in1k,224,82.82,87.743,72.39,37.193,27.76,95.64,49.3,95.32,https://huggingface.co/timm/rdnet_tiny.nv_in1k
regnetv_040.ra3_in1k,224,82.448,87.6,71.96,33.369,24.387,95.75,44.947,95.36,https://huggingface.co/timm/regnetv_040.ra3_in1k
regnetv_040.ra3_in1k,288,83.2,88.234,72.71,31.227,31.027,96.23,43.753,95.77,https://huggingface.co/timm/regnetv_040.ra3_in1k
regnetv_064.ra3_in1k,224,83.118,87.911,72.8,34.502,27.347,96.09,47.797,95.49,https://huggingface.co/timm/regnetv_064.ra3_in1k
regnetv_064.ra3_in1k,288,83.748,88.473,73.28,32.828,33.787,96.45,46.52,95.8,https://huggingface.co/timm/regnetv_064.ra3_in1k
regnetx_002.pycls_in1k,224,68.76,76.124,55.81,16.972,1.293,86.2,28.867,87.34,https://huggingface.co/timm/regnetx_002.pycls_in1k
regnetx_004.pycls_in1k,224,72.432,79.45,59.26,20.906,1.973,88.92,32.603,89.49,https://huggingface.co/timm/regnetx_004.pycls_in1k
regnetx_004_tv.tv2_in1k,224,74.584,81.688,61.81,22.242,4.92,90.63,33.837,91.16,https://huggingface.co/timm/regnetx_004_tv.tv2_in1k
regnetx_006.pycls_in1k,224,73.884,80.631,61.24,21.745,2.467,90.37,33.277,90.75,https://huggingface.co/timm/regnetx_006.pycls_in1k
regnetx_008.pycls_in1k,224,75.062,81.515,62.49,21.981,2.733,91.1,33.75,91.22,https://huggingface.co/timm/regnetx_008.pycls_in1k
regnetx_008.tv2_in1k,224,77.288,83.675,65.7,23.771,7.227,92.59,35.557,92.46,https://huggingface.co/timm/regnetx_008.tv2_in1k
regnetx_016.pycls_in1k,224,76.924,83.174,64.25,24.563,3.533,92.18,36.863,92.6,https://huggingface.co/timm/regnetx_016.pycls_in1k
regnetx_016.tv2_in1k,224,79.452,85.351,67.89,25.888,12.72,94.17,38.63,94.02,https://huggingface.co/timm/regnetx_016.tv2_in1k
regnetx_032.pycls_in1k,224,78.166,84.237,67.23,26.705,4.88,93.14,38.757,93.3,https://huggingface.co/timm/regnetx_032.pycls_in1k
regnetx_032.tv2_in1k,224,80.926,86.24,69.44,28.975,17.0,94.66,40.803,94.56,https://huggingface.co/timm/regnetx_032.tv2_in1k
regnetx_040.pycls_in1k,224,78.494,84.613,66.66,26.263,5.787,93.55,38.81,93.69,https://huggingface.co/timm/regnetx_040.pycls_in1k
regnetx_064.pycls_in1k,224,79.06,84.781,67.67,26.792,7.387,93.9,38.5,93.66,https://huggingface.co/timm/regnetx_064.pycls_in1k
regnetx_080.pycls_in1k,224,79.216,84.877,67.95,27.385,6.4,93.85,39.987,93.79,https://huggingface.co/timm/regnetx_080.pycls_in1k
regnetx_080.tv2_in1k,224,81.56,86.775,70.76,30.557,18.413,95.11,43.133,94.75,https://huggingface.co/timm/regnetx_080.tv2_in1k
regnetx_120.pycls_in1k,224,79.608,85.136,68.23,26.87,9.093,94.24,39.737,94.3,https://huggingface.co/timm/regnetx_120.pycls_in1k
regnetx_160.pycls_in1k,224,79.858,85.385,68.56,27.831,10.04,94.16,40.343,93.92,https://huggingface.co/timm/regnetx_160.pycls_in1k
regnetx_160.tv2_in1k,224,82.576,87.454,71.76,30.252,22.787,95.9,43.157,95.26,https://huggingface.co/timm/regnetx_160.tv2_in1k
regnetx_320.pycls_in1k,224,80.262,85.528,69.45,28.083,13.173,94.44,40.533,94.21,https://huggingface.co/timm/regnetx_320.pycls_in1k
regnetx_320.tv2_in1k,224,82.824,87.544,72.16,32.196,26.173,95.99,45.637,95.33,https://huggingface.co/timm/regnetx_320.tv2_in1k
regnety_002.pycls_in1k,224,70.294,77.415,56.98,17.456,2.133,87.35,29.683,88.21,https://huggingface.co/timm/regnety_002.pycls_in1k
regnety_004.pycls_in1k,224,74.006,80.624,61.92,20.427,3.08,90.51,32.393,90.76,https://huggingface.co/timm/regnety_004.pycls_in1k
regnety_004.tv2_in1k,224,75.588,82.631,63.51,23.26,6.347,91.62,34.937,91.59,https://huggingface.co/timm/regnety_004.tv2_in1k
regnety_006.pycls_in1k,224,75.262,81.7,62.78,21.96,3.533,91.44,34.283,91.6,https://huggingface.co/timm/regnety_006.pycls_in1k
regnety_008.pycls_in1k,224,76.334,82.507,63.8,22.131,3.747,91.72,34.883,91.88,https://huggingface.co/timm/regnety_008.pycls_in1k
regnety_008_tv.tv2_in1k,224,78.656,84.879,67.52,25.424,10.827,93.69,38.33,93.17,https://huggingface.co/timm/regnety_008_tv.tv2_in1k
regnety_016.pycls_in1k,224,77.908,83.998,65.95,24.813,5.6,93.14,37.127,93.06,https://huggingface.co/timm/regnety_016.pycls_in1k
regnety_016.tv2_in1k,224,80.696,86.412,69.8,30.124,16.787,94.58,43.477,94.45,https://huggingface.co/timm/regnety_016.tv2_in1k
regnety_032.pycls_in1k,224,78.896,84.576,67.47,25.322,7.693,93.44,38.19,93.49,https://huggingface.co/timm/regnety_032.pycls_in1k
regnety_032.ra_in1k,224,81.942,87.251,71.45,35.019,20.173,95.4,47.19,94.92,https://huggingface.co/timm/regnety_032.ra_in1k
regnety_032.ra_in1k,288,82.724,87.952,72.65,33.434,26.04,95.99,45.873,95.47,https://huggingface.co/timm/regnety_032.ra_in1k
regnety_032.tv2_in1k,224,81.798,86.974,70.71,31.313,20.547,95.3,44.7,94.89,https://huggingface.co/timm/regnety_032.tv2_in1k
regnety_040.pycls_in1k,224,79.236,84.95,67.65,25.919,9.013,93.88,38.833,93.63,https://huggingface.co/timm/regnety_040.pycls_in1k
regnety_040.ra3_in1k,224,82.316,87.328,71.97,32.345,23.187,95.56,43.843,95.0,https://huggingface.co/timm/regnety_040.ra3_in1k
regnety_040.ra3_in1k,288,83.058,87.903,72.6,30.305,30.2,96.0,42.597,95.45,https://huggingface.co/timm/regnety_040.ra3_in1k
regnety_064.pycls_in1k,224,79.728,85.281,68.36,27.224,10.027,94.16,39.397,94.12,https://huggingface.co/timm/regnety_064.pycls_in1k
regnety_064.ra3_in1k,224,83.006,87.751,72.65,33.438,28.227,95.87,44.58,95.59,https://huggingface.co/timm/regnety_064.ra3_in1k
regnety_064.ra3_in1k,288,83.712,88.328,73.36,31.466,36.64,96.36,43.143,95.81,https://huggingface.co/timm/regnety_064.ra3_in1k
regnety_080.pycls_in1k,224,79.882,85.247,68.57,26.54,11.373,94.18,38.987,93.9,https://huggingface.co/timm/regnety_080.pycls_in1k
regnety_080.ra3_in1k,224,83.162,88.024,72.95,35.287,28.24,96.03,47.16,95.57,https://huggingface.co/timm/regnety_080.ra3_in1k
regnety_080.ra3_in1k,288,83.94,88.626,73.47,33.475,35.08,96.52,45.933,95.86,https://huggingface.co/timm/regnety_080.ra3_in1k
regnety_080_tv.tv2_in1k,224,82.592,87.463,72.45,30.907,27.133,95.9,44.153,95.32,https://huggingface.co/timm/regnety_080_tv.tv2_in1k
regnety_120.pycls_in1k,224,80.382,85.563,68.96,26.809,12.387,94.52,39.397,94.07,https://huggingface.co/timm/regnety_120.pycls_in1k
regnety_120.sw_in12k_ft_in1k,224,84.986,89.177,74.91,43.398,44.467,97.17,53.937,96.2,https://huggingface.co/timm/regnety_120.sw_in12k_ft_in1k
regnety_120.sw_in12k_ft_in1k,288,85.442,89.429,75.63,41.323,51.8,97.27,52.477,96.56,https://huggingface.co/timm/regnety_120.sw_in12k_ft_in1k
regnety_1280.seer_ft_in1k,384,84.426,89.049,73.8,37.344,40.667,96.88,47.763,96.33,https://huggingface.co/timm/regnety_1280.seer_ft_in1k
regnety_1280.swag_ft_in1k,384,88.224,90.676,80.42,64.11,83.76,98.45,88.313,97.76,https://huggingface.co/timm/regnety_1280.swag_ft_in1k
regnety_1280.swag_lc_in1k,224,85.966,88.949,77.56,59.934,74.547,97.66,86.943,97.42,https://huggingface.co/timm/regnety_1280.swag_lc_in1k
regnety_160.deit_in1k,224,82.994,88.165,72.8,36.181,29.0,96.05,48.053,95.53,https://huggingface.co/timm/regnety_160.deit_in1k
regnety_160.deit_in1k,288,83.7,88.699,73.33,33.996,36.48,96.36,46.127,95.9,https://huggingface.co/timm/regnety_160.deit_in1k
regnety_160.lion_in12k_ft_in1k,224,85.602,89.502,76.13,44.575,49.453,97.25,55.587,96.51,https://huggingface.co/timm/regnety_160.lion_in12k_ft_in1k
regnety_160.lion_in12k_ft_in1k,288,86.01,89.726,76.53,42.748,56.693,97.45,54.09,96.8,https://huggingface.co/timm/regnety_160.lion_in12k_ft_in1k
regnety_160.pycls_in1k,224,80.284,85.488,68.71,27.601,12.187,94.38,39.297,94.13,https://huggingface.co/timm/regnety_160.pycls_in1k
regnety_160.sw_in12k_ft_in1k,224,85.594,89.395,76.04,44.53,49.107,97.22,55.657,96.59,https://huggingface.co/timm/regnety_160.sw_in12k_ft_in1k
regnety_160.sw_in12k_ft_in1k,288,86.032,89.604,76.71,42.722,56.187,97.5,54.163,96.82,https://huggingface.co/timm/regnety_160.sw_in12k_ft_in1k
regnety_160.swag_ft_in1k,384,86.018,89.925,77.16,55.165,68.093,97.79,77.717,97.17,https://huggingface.co/timm/regnety_160.swag_ft_in1k
regnety_160.swag_lc_in1k,224,83.808,88.059,74.5,53.09,60.52,96.83,78.223,96.43,https://huggingface.co/timm/regnety_160.swag_lc_in1k
regnety_160.tv2_in1k,224,82.646,87.243,71.92,31.003,28.707,95.98,44.413,95.16,https://huggingface.co/timm/regnety_160.tv2_in1k
regnety_2560.seer_ft_in1k,384,85.146,89.628,75.1,41.559,47.787,97.24,51.62,96.55,https://huggingface.co/timm/regnety_2560.seer_ft_in1k
regnety_320.pycls_in1k,224,80.796,85.734,69.93,28.075,15.493,94.59,40.847,94.5,https://huggingface.co/timm/regnety_320.pycls_in1k
regnety_320.seer_ft_in1k,384,83.326,88.562,72.02,36.047,32.787,96.35,45.377,95.8,https://huggingface.co/timm/regnety_320.seer_ft_in1k
regnety_320.swag_ft_in1k,384,86.86,90.245,78.3,57.936,73.987,98.06,81.263,97.4,https://huggingface.co/timm/regnety_320.swag_ft_in1k
regnety_320.swag_lc_in1k,224,84.632,88.443,75.52,55.442,65.547,97.16,81.46,96.86,https://huggingface.co/timm/regnety_320.swag_lc_in1k
regnety_320.tv2_in1k,224,83.174,87.745,72.88,32.612,31.267,96.09,47.083,95.59,https://huggingface.co/timm/regnety_320.tv2_in1k
regnety_640.seer_ft_in1k,384,83.916,88.659,72.91,37.623,35.76,96.83,46.61,96.03,https://huggingface.co/timm/regnety_640.seer_ft_in1k
regnetz_040.ra3_in1k,256,83.66,88.266,73.73,37.902,30.907,96.48,50.64,95.76,https://huggingface.co/timm/regnetz_040.ra3_in1k
regnetz_040.ra3_in1k,320,84.256,88.725,74.3,36.069,38.427,96.71,49.18,96.2,https://huggingface.co/timm/regnetz_040.ra3_in1k
regnetz_040_h.ra3_in1k,256,83.768,88.278,73.46,38.596,31.96,96.32,51.573,95.99,https://huggingface.co/timm/regnetz_040_h.ra3_in1k
regnetz_040_h.ra3_in1k,320,84.51,88.979,74.34,36.996,39.707,96.72,50.32,96.34,https://huggingface.co/timm/regnetz_040_h.ra3_in1k
regnetz_b16.ra3_in1k,224,79.874,86.282,69.23,30.547,14.827,94.56,41.25,94.15,https://huggingface.co/timm/regnetz_b16.ra3_in1k
regnetz_b16.ra3_in1k,288,80.738,87.049,70.42,29.327,19.573,95.17,40.44,94.7,https://huggingface.co/timm/regnetz_b16.ra3_in1k
regnetz_c16.ra3_in1k,256,82.16,87.578,71.26,35.114,23.107,95.52,47.027,95.16,https://huggingface.co/timm/regnetz_c16.ra3_in1k
regnetz_c16.ra3_in1k,320,82.66,87.973,72.09,33.394,27.147,95.98,45.93,95.39,https://huggingface.co/timm/regnetz_c16.ra3_in1k
regnetz_c16_evos.ch_in1k,256,81.942,87.794,71.89,34.803,24.733,95.7,45.867,95.36,https://huggingface.co/timm/regnetz_c16_evos.ch_in1k
regnetz_c16_evos.ch_in1k,320,82.644,88.385,72.05,32.565,31.08,96.15,44.12,95.66,https://huggingface.co/timm/regnetz_c16_evos.ch_in1k
regnetz_d32.ra3_in1k,256,83.428,88.253,73.12,38.765,31.507,96.2,50.44,95.39,https://huggingface.co/timm/regnetz_d32.ra3_in1k
regnetz_d32.ra3_in1k,320,84.028,88.654,73.75,36.426,36.813,96.6,48.627,95.87,https://huggingface.co/timm/regnetz_d32.ra3_in1k
regnetz_d8.ra3_in1k,256,83.548,88.516,73.26,36.7,33.4,96.4,49.31,95.83,https://huggingface.co/timm/regnetz_d8.ra3_in1k
regnetz_d8.ra3_in1k,320,84.042,88.849,73.73,35.019,39.48,96.63,48.027,96.02,https://huggingface.co/timm/regnetz_d8.ra3_in1k
regnetz_d8_evos.ch_in1k,256,83.394,88.27,73.3,37.344,32.867,96.27,48.73,95.8,https://huggingface.co/timm/regnetz_d8_evos.ch_in1k
regnetz_d8_evos.ch_in1k,320,84.152,88.957,73.17,35.464,38.84,96.57,47.563,96.2,https://huggingface.co/timm/regnetz_d8_evos.ch_in1k
regnetz_e8.ra3_in1k,256,84.418,88.955,74.63,41.653,43.093,96.69,54.527,96.43,https://huggingface.co/timm/regnetz_e8.ra3_in1k
regnetz_e8.ra3_in1k,320,85.04,89.38,75.47,40.132,47.347,97.21,53.06,96.62,https://huggingface.co/timm/regnetz_e8.ra3_in1k
repghostnet_050.in1k,224,66.98,74.255,53.56,15.601,1.92,85.04,27.14,85.56,https://huggingface.co/timm/repghostnet_050.in1k
repghostnet_058.in1k,224,68.934,76.262,55.95,17.198,2.253,86.51,28.497,87.19,https://huggingface.co/timm/repghostnet_058.in1k
repghostnet_080.in1k,224,72.236,79.108,59.09,19.476,3.027,88.97,30.973,89.47,https://huggingface.co/timm/repghostnet_080.in1k
repghostnet_100.in1k,224,74.2,80.936,61.46,21.49,3.547,90.32,33.133,90.66,https://huggingface.co/timm/repghostnet_100.in1k
repghostnet_111.in1k,224,75.068,81.743,62.19,22.887,4.213,90.75,33.807,91.11,https://huggingface.co/timm/repghostnet_111.in1k
repghostnet_130.in1k,224,76.366,82.896,63.76,23.966,4.84,91.88,35.323,91.93,https://huggingface.co/timm/repghostnet_130.in1k
repghostnet_150.in1k,224,77.47,83.639,64.81,25.982,6.427,92.37,36.693,92.4,https://huggingface.co/timm/repghostnet_150.in1k
repghostnet_200.in1k,224,78.79,84.807,67.17,27.756,7.853,93.51,39.287,93.54,https://huggingface.co/timm/repghostnet_200.in1k
repvgg_a0.rvgg_in1k,224,72.424,79.529,59.5,20.993,1.493,89.26,34.09,89.81,https://huggingface.co/timm/repvgg_a0.rvgg_in1k
repvgg_a1.rvgg_in1k,224,74.468,81.271,61.87,22.653,2.147,90.59,36.52,91.16,https://huggingface.co/timm/repvgg_a1.rvgg_in1k
repvgg_a2.rvgg_in1k,224,76.492,83.011,64.27,25.501,3.853,91.94,38.513,92.66,https://huggingface.co/timm/repvgg_a2.rvgg_in1k
repvgg_b0.rvgg_in1k,224,75.162,82.014,62.61,23.339,2.6,91.41,36.323,91.71,https://huggingface.co/timm/repvgg_b0.rvgg_in1k
repvgg_b1.rvgg_in1k,224,78.372,84.425,66.82,27.652,6.32,93.33,40.693,93.41,https://huggingface.co/timm/repvgg_b1.rvgg_in1k
repvgg_b1g4.rvgg_in1k,224,77.602,83.692,65.78,26.579,5.147,93.01,39.043,93.06,https://huggingface.co/timm/repvgg_b1g4.rvgg_in1k
repvgg_b2.rvgg_in1k,224,78.794,84.794,66.97,28.428,8.28,93.5,40.533,93.57,https://huggingface.co/timm/repvgg_b2.rvgg_in1k
repvgg_b2g4.rvgg_in1k,224,79.396,85.87,68.77,34.609,13.24,93.87,47.777,93.85,https://huggingface.co/timm/repvgg_b2g4.rvgg_in1k
repvgg_b3.rvgg_in1k,224,80.518,86.592,70.03,35.029,18.867,94.55,49.02,94.61,https://huggingface.co/timm/repvgg_b3.rvgg_in1k
repvgg_b3g4.rvgg_in1k,224,80.248,86.361,69.5,35.08,16.067,94.52,48.253,94.5,https://huggingface.co/timm/repvgg_b3g4.rvgg_in1k
repvgg_d2se.rvgg_in1k,320,83.554,88.607,73.85,34.925,35.72,96.68,47.73,95.92,https://huggingface.co/timm/repvgg_d2se.rvgg_in1k
repvit_m0_9.dist_300e_in1k,224,78.654,85.356,67.26,31.131,9.173,93.43,43.207,93.45,https://huggingface.co/timm/repvit_m0_9.dist_300e_in1k
repvit_m0_9.dist_450e_in1k,224,79.058,85.729,67.83,30.879,10.347,93.61,43.13,93.47,https://huggingface.co/timm/repvit_m0_9.dist_450e_in1k
repvit_m1.dist_in1k,224,78.542,85.112,66.89,29.384,8.547,93.32,42.37,93.34,https://huggingface.co/timm/repvit_m1.dist_in1k
repvit_m1_0.dist_300e_in1k,224,80.152,86.459,68.67,31.27,12.72,94.33,44.417,93.77,https://huggingface.co/timm/repvit_m1_0.dist_300e_in1k
repvit_m1_0.dist_450e_in1k,224,80.446,86.534,69.26,31.443,15.027,94.54,44.36,94.28,https://huggingface.co/timm/repvit_m1_0.dist_450e_in1k
repvit_m1_1.dist_300e_in1k,224,80.826,86.807,69.48,32.29,14.547,94.76,45.54,94.19,https://huggingface.co/timm/repvit_m1_1.dist_300e_in1k
repvit_m1_1.dist_450e_in1k,224,81.302,87.109,70.37,32.74,16.04,94.89,46.167,94.55,https://huggingface.co/timm/repvit_m1_1.dist_450e_in1k
repvit_m1_5.dist_300e_in1k,224,82.382,87.785,71.63,34.872,21.107,95.7,47.783,95.14,https://huggingface.co/timm/repvit_m1_5.dist_300e_in1k
repvit_m1_5.dist_450e_in1k,224,82.52,87.915,72.11,35.002,22.373,95.93,47.973,95.32,https://huggingface.co/timm/repvit_m1_5.dist_450e_in1k
repvit_m2.dist_in1k,224,80.468,86.628,69.13,31.335,14.053,94.75,44.777,94.46,https://huggingface.co/timm/repvit_m2.dist_in1k
repvit_m2_3.dist_300e_in1k,224,83.524,88.507,73.02,37.199,28.227,96.18,50.657,95.67,https://huggingface.co/timm/repvit_m2_3.dist_300e_in1k
repvit_m2_3.dist_450e_in1k,224,83.742,88.479,73.45,37.995,30.333,96.35,51.433,96.0,https://huggingface.co/timm/repvit_m2_3.dist_450e_in1k
repvit_m3.dist_in1k,224,81.494,87.324,70.99,33.789,18.293,95.24,47.203,94.73,https://huggingface.co/timm/repvit_m3.dist_in1k
res2net101_26w_4s.in1k,224,79.186,85.093,67.41,27.804,9.427,93.75,39.747,93.53,https://huggingface.co/timm/res2net101_26w_4s.in1k
res2net101d.in1k,224,81.254,86.143,69.45,26.729,21.613,94.84,38.827,94.55,https://huggingface.co/timm/res2net101d.in1k
res2net50_14w_8s.in1k,224,78.146,84.341,66.03,26.489,4.893,92.72,38.71,93.02,https://huggingface.co/timm/res2net50_14w_8s.in1k
res2net50_26w_4s.in1k,224,77.986,84.38,65.99,25.868,5.067,92.53,37.857,93.19,https://huggingface.co/timm/res2net50_26w_4s.in1k
res2net50_26w_6s.in1k,224,78.584,84.747,67.03,26.599,6.547,93.42,38.7,93.58,https://huggingface.co/timm/res2net50_26w_6s.in1k
res2net50_26w_8s.in1k,224,78.948,84.826,67.39,27.312,7.813,93.4,39.767,93.42,https://huggingface.co/timm/res2net50_26w_8s.in1k
res2net50_48w_2s.in1k,224,77.536,84.115,65.27,25.019,3.6,92.56,37.18,92.81,https://huggingface.co/timm/res2net50_48w_2s.in1k
res2net50d.in1k,224,80.27,85.763,68.38,25.503,14.653,94.3,37.22,94.27,https://huggingface.co/timm/res2net50d.in1k
res2next50.in1k,224,78.236,84.22,65.63,25.402,5.533,92.9,37.53,93.14,https://huggingface.co/timm/res2next50.in1k
resmlp_12_224.fb_distilled_in1k,224,77.948,84.724,66.29,26.322,8.107,92.82,39.883,92.88,https://huggingface.co/timm/resmlp_12_224.fb_distilled_in1k
resmlp_12_224.fb_in1k,224,76.66,83.566,64.33,25.526,7.067,92.21,38.45,92.13,https://huggingface.co/timm/resmlp_12_224.fb_in1k
resmlp_24_224.fb_distilled_in1k,224,80.766,86.635,69.62,30.891,16.227,94.45,44.797,94.35,https://huggingface.co/timm/resmlp_24_224.fb_distilled_in1k
resmlp_24_224.fb_in1k,224,79.38,85.277,67.7,27.57,12.467,94.02,40.677,93.43,https://huggingface.co/timm/resmlp_24_224.fb_in1k
resmlp_36_224.fb_distilled_in1k,224,81.15,86.98,70.1,31.099,16.707,94.88,44.73,94.57,https://huggingface.co/timm/resmlp_36_224.fb_distilled_in1k
resmlp_36_224.fb_in1k,224,79.772,85.623,68.04,29.739,13.427,94.2,43.01,93.67,https://huggingface.co/timm/resmlp_36_224.fb_in1k
resmlp_big_24_224.fb_distilled_in1k,224,83.594,88.439,73.38,34.715,33.787,96.46,48.997,95.86,https://huggingface.co/timm/resmlp_big_24_224.fb_distilled_in1k
resmlp_big_24_224.fb_in1k,224,81.034,85.697,68.28,26.316,22.627,94.65,39.593,94.27,https://huggingface.co/timm/resmlp_big_24_224.fb_in1k
resmlp_big_24_224.fb_in22k_ft_in1k,224,84.388,88.994,74.2,37.24,40.333,96.6,51.913,96.36,https://huggingface.co/timm/resmlp_big_24_224.fb_in22k_ft_in1k
resnest101e.in1k,256,82.916,87.299,72.33,35.383,31.587,95.85,49.373,95.61,https://huggingface.co/timm/resnest101e.in1k
resnest14d.gluon_in1k,224,75.516,82.373,63.68,25.316,5.333,91.72,37.84,91.14,https://huggingface.co/timm/resnest14d.gluon_in1k
resnest200e.in1k,320,83.872,88.415,74.25,35.937,43.987,96.61,49.813,96.11,https://huggingface.co/timm/resnest200e.in1k
resnest269e.in1k,416,84.54,88.53,73.94,37.301,47.64,96.52,50.14,96.12,https://huggingface.co/timm/resnest269e.in1k
resnest26d.gluon_in1k,224,78.476,84.997,67.12,30.494,9.0,93.39,43.13,93.28,https://huggingface.co/timm/resnest26d.gluon_in1k
resnest50d.in1k,224,80.958,86.22,70.26,32.962,17.347,94.83,45.883,94.63,https://huggingface.co/timm/resnest50d.in1k
resnest50d_1s4x24d.in1k,224,81.018,86.438,70.4,33.172,17.627,94.76,46.203,94.38,https://huggingface.co/timm/resnest50d_1s4x24d.in1k
resnest50d_4s2x40d.in1k,224,81.146,86.615,70.86,34.357,20.093,94.96,47.497,94.72,https://huggingface.co/timm/resnest50d_4s2x40d.in1k
resnet101.a1_in1k,224,81.494,86.34,70.08,31.162,17.853,94.53,42.233,94.48,https://huggingface.co/timm/resnet101.a1_in1k
resnet101.a1_in1k,288,82.322,87.066,71.85,30.311,24.947,95.49,41.273,94.9,https://huggingface.co/timm/resnet101.a1_in1k
resnet101.a1h_in1k,224,81.95,87.083,70.87,34.673,19.28,95.37,45.263,94.99,https://huggingface.co/timm/resnet101.a1h_in1k
resnet101.a1h_in1k,288,82.802,87.636,71.95,33.768,28.12,96.04,44.957,95.58,https://huggingface.co/timm/resnet101.a1h_in1k
resnet101.a2_in1k,224,81.344,86.171,69.86,29.969,13.907,94.7,41.36,94.55,https://huggingface.co/timm/resnet101.a2_in1k
resnet101.a2_in1k,288,82.224,86.946,70.82,29.095,20.88,95.42,40.253,94.89,https://huggingface.co/timm/resnet101.a2_in1k
resnet101.a3_in1k,160,77.928,84.26,66.16,29.714,6.2,93.04,41.15,92.88,https://huggingface.co/timm/resnet101.a3_in1k
resnet101.a3_in1k,224,79.82,85.74,68.44,27.937,11.787,94.05,39.28,93.87,https://huggingface.co/timm/resnet101.a3_in1k
resnet101.gluon_in1k,224,79.306,85.148,67.36,28.9,7.213,93.73,40.787,93.82,https://huggingface.co/timm/resnet101.gluon_in1k
resnet101.tv2_in1k,176,79.906,85.415,67.8,30.097,10.093,93.79,43.567,93.93,https://huggingface.co/timm/resnet101.tv2_in1k
resnet101.tv2_in1k,224,81.906,86.927,70.53,31.366,16.333,95.29,45.3,94.89,https://huggingface.co/timm/resnet101.tv2_in1k
resnet101.tv_in1k,224,77.404,83.863,65.94,26.974,4.56,92.81,39.297,92.89,https://huggingface.co/timm/resnet101.tv_in1k
resnet101c.gluon_in1k,224,79.542,85.313,67.32,28.128,7.88,93.68,39.983,93.73,https://huggingface.co/timm/resnet101c.gluon_in1k
resnet101d.gluon_in1k,224,80.466,85.877,68.79,30.515,12.773,94.25,43.443,94.18,https://huggingface.co/timm/resnet101d.gluon_in1k
resnet101d.ra2_in1k,256,82.252,87.35,71.49,35.723,21.693,95.9,47.307,95.43,https://huggingface.co/timm/resnet101d.ra2_in1k
resnet101d.ra2_in1k,320,83.018,87.937,72.38,34.874,28.813,96.3,46.93,95.75,https://huggingface.co/timm/resnet101d.ra2_in1k
resnet101s.gluon_in1k,224,80.286,86.067,68.72,31.15,11.987,94.74,43.423,94.2,https://huggingface.co/timm/resnet101s.gluon_in1k
resnet10t.c3_in1k,176,66.724,74.541,54.03,17.646,1.413,84.78,29.783,85.49,https://huggingface.co/timm/resnet10t.c3_in1k
resnet10t.c3_in1k,224,68.346,76.164,55.44,16.709,1.64,86.25,28.907,86.71,https://huggingface.co/timm/resnet10t.c3_in1k
resnet14t.c3_in1k,176,71.318,78.329,57.01,17.381,2.133,88.29,28.733,88.47,https://huggingface.co/timm/resnet14t.c3_in1k
resnet14t.c3_in1k,224,72.242,79.126,58.15,15.999,2.72,89.0,27.647,89.24,https://huggingface.co/timm/resnet14t.c3_in1k
resnet152.a1_in1k,224,81.998,86.38,70.57,32.478,20.493,95.14,43.347,94.69,https://huggingface.co/timm/resnet152.a1_in1k
resnet152.a1_in1k,288,82.744,86.886,71.33,31.433,29.493,95.49,42.233,95.14,https://huggingface.co/timm/resnet152.a1_in1k
resnet152.a1h_in1k,224,82.818,87.459,71.76,36.067,23.533,95.89,46.847,95.58,https://huggingface.co/timm/resnet152.a1h_in1k
resnet152.a1h_in1k,288,83.494,88.056,73.06,35.353,33.027,96.22,46.52,95.78,https://huggingface.co/timm/resnet152.a1h_in1k
resnet152.a2_in1k,224,81.764,86.483,70.76,31.013,17.347,94.95,41.837,94.75,https://huggingface.co/timm/resnet152.a2_in1k
resnet152.a2_in1k,288,82.62,87.017,71.74,29.814,24.8,95.49,40.793,95.0,https://huggingface.co/timm/resnet152.a2_in1k
resnet152.a3_in1k,160,78.896,84.785,67.14,31.109,7.4,93.63,42.7,93.37,https://huggingface.co/timm/resnet152.a3_in1k
resnet152.a3_in1k,224,80.548,85.981,68.64,29.523,13.24,94.72,40.87,94.46,https://huggingface.co/timm/resnet152.a3_in1k
resnet152.gluon_in1k,224,79.712,85.496,68.79,30.639,9.747,94.16,42.973,94.04,https://huggingface.co/timm/resnet152.gluon_in1k
resnet152.tv2_in1k,176,80.212,85.484,68.52,31.172,11.32,94.09,43.757,94.02,https://huggingface.co/timm/resnet152.tv2_in1k
resnet152.tv2_in1k,224,82.294,87.194,71.58,33.632,20.453,95.53,46.777,95.08,https://huggingface.co/timm/resnet152.tv2_in1k
resnet152.tv_in1k,224,78.33,84.815,67.04,28.55,6.053,93.33,41.34,93.27,https://huggingface.co/timm/resnet152.tv_in1k
resnet152c.gluon_in1k,224,79.906,85.573,68.99,30.995,11.053,94.16,42.85,93.89,https://huggingface.co/timm/resnet152c.gluon_in1k
resnet152d.gluon_in1k,224,80.476,85.896,69.82,32.764,16.32,94.82,45.46,94.45,https://huggingface.co/timm/resnet152d.gluon_in1k
