Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,hgnetv2_b3.ssld_stage2_ft_in1k,288,83.58,,1024.0,10018.808180056034,102.2125980107527,22.87508701065734,True
TBD,TBD,hgnetv2_b4.ssld_stage1_in22k_in1k,224,82.886,,512.0,13148.501333037571,38.94212282786885,18.934545613174944,True
TBD,TBD,hgnetv2_b4.ssld_stage1_in22k_in1k,288,83.448,,256.0,7968.540062538014,32.128470236486486,31.24593865511719,True
TBD,TBD,hgnetv2_b4.ssld_stage2_ft_in1k,224,83.694,,512.0,13143.299610155482,38.95808775308642,18.973068464175352,True
TBD,TBD,hgnetv2_b4.ssld_stage2_ft_in1k,288,83.934,,256.0,7926.604512864564,32.29864853061225,31.39581716746918,True
TBD,TBD,hgnetv2_b5.ssld_stage1_in22k_in1k,224,84.456,,1024.0,7434.954743502095,137.731333,33.13085253447138,True
TBD,TBD,hgnetv2_b5.ssld_stage1_in22k_in1k,288,84.924,,512.0,4558.411935047694,112.32299029411764,54.03758110553218,True
TBD,TBD,hgnetv2_b5.ssld_stage2_ft_in1k,224,84.81,,512.0,7485.247824906762,68.4040604172662,32.56872758614546,True
TBD,TBD,hgnetv2_b5.ssld_stage2_ft_in1k,288,85.15,,640.0,4513.087443807965,141.81295758208955,54.436094128832565,True
TBD,TBD,hgnetv2_b6.ssld_stage1_in22k_in1k,224,86.052,,640.0,3284.395804607887,194.8714796734694,75.10419328060779,True
TBD,TBD,hgnetv2_b6.ssld_stage1_in22k_in1k,288,86.298,,256.0,1993.6711773172087,128.4117623648649,123.87839699491396,True
TBD,TBD,hgnetv2_b6.ssld_stage2_ft_in1k,224,86.206,,832.0,3248.251277202553,256.1427785945946,75.14971576662813,True
TBD,TBD,hgnetv2_b6.ssld_stage2_ft_in1k,288,86.384,,256.0,1991.839006783126,128.52962974324325,123.87132085982529,True
TBD,TBD,hiera_base_224.mae_in1k_ft_in1k,224,84.526,,128.0,3466.8903892072976,36.92210885214008,71.89554844298759,True
TBD,TBD,hiera_base_plus_224.mae_in1k_ft_in1k,224,85.134,,160.0,2802.4629381796467,57.09629167664671,88.51660586852395,True
TBD,TBD,hiera_huge_224.mae_in1k_ft_in1k,224,86.834,,32.0,506.2829010308935,63.208283346666654,491.0434825639375,True
TBD,TBD,hiera_large_224.mae_in1k_ft_in1k,224,86.044,,40.0,1097.8234775298724,36.43766049808429,226.84682603756227,True
TBD,TBD,hiera_small_224.mae_in1k_ft_in1k,224,83.886,,320.0,4825.686636464957,66.31890339860139,51.17613858223165,True
TBD,TBD,hiera_small_abswin_256.sbb2_e200_in12k_ft_in1k,256,84.9,,256.0,4055.195707434792,63.131979513333334,61.49067157602839,True
TBD,TBD,hiera_small_abswin_256.sbb2_pd_e200_in12k_ft_in1k,256,84.554,,224.0,4017.246584269284,55.76166407647059,61.731467606119494,True
TBD,TBD,hiera_tiny_224.mae_in1k_ft_in1k,224,82.824,,304.0,5615.607475576398,54.13994484571428,44.393600417530635,True
TBD,TBD,hrnet_w18.ms_aug_in1k,224,78.116,,512.0,6173.810941005374,82.93231278070175,39.81997960775048,True
TBD,TBD,hrnet_w18.ms_in1k,224,76.76,,512.0,6167.382680063046,83.0185284122807,40.0200366203944,True
TBD,TBD,hrnet_w18_small.gluon_in1k,224,73.932,,1280.0,25623.73997716404,49.95583752105263,9.68451058900835,True
TBD,TBD,hrnet_w18_small.ms_in1k,224,72.334,,1280.0,25646.848293826355,49.91150904210527,9.63643055271369,True
TBD,TBD,hrnet_w18_small_v2.gluon_in1k,224,78.184,,768.0,11266.705515276282,68.1664885971223,21.683560228224483,True
