Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,vit_medium_patch16_gap_256.sw_in12k_ft_in1k,256,84.45,,76.0,8907.229223573031,8.532473097845601,33.27497444652886,True
TBD,TBD,vit_medium_patch16_gap_384.sw_in12k_ft_in1k,384,85.554,,256.0,3834.197247217862,66.76889586619718,76.90999574124805,True
TBD,TBD,vit_medium_patch16_reg1_gap_256.sbb_in1k,256,83.458,,256.0,8189.698848262944,31.259669013157893,36.92240986696392,True
TBD,TBD,vit_medium_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,84.944,,512.0,8254.545616137582,62.02849480392157,36.86083593959993,True
TBD,TBD,vit_medium_patch16_reg4_gap_256.sbb_in1k,256,83.468,,384.0,8111.584645526041,47.34113754228856,37.510027163942915,True
TBD,TBD,vit_medium_patch16_rope_reg1_gap_256.sbb_in1k,256,83.812,,256.0,6340.501091364183,40.37707342553192,46.873834326303864,True
TBD,TBD,vit_mediumd_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,86.604,,192.0,4963.927125989007,38.67928687755102,60.98698305505931,True
TBD,TBD,vit_mediumd_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,86.208,,368.0,4995.441894425967,73.66948014728682,61.07861993886838,True
TBD,TBD,vit_mediumd_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,87.436,,112.0,2173.340095629156,51.53449264324325,139.55876591121574,True
TBD,TBD,vit_mediumd_patch16_rope_reg1_gap_256.sbb_in1k,256,84.322,,416.0,3781.479783363079,110.01097841860465,78.35597265809005,True
TBD,TBD,vit_pwee_patch16_reg1_gap_256.sbb_in1k,256,80.078,,768.0,13604.460625944384,56.454305136904765,22.37937890571808,True
TBD,TBD,vit_relpos_base_patch16_224.sw_in1k,224,82.476,,512.0,7104.652091209868,72.06694864885496,42.38964975262435,True
TBD,TBD,vit_relpos_base_patch16_clsgap_224.sw_in1k,224,82.762,,496.0,7091.314661730956,69.94641971323529,42.65187420894687,True
TBD,TBD,vit_relpos_base_patch32_plus_rpn_256.sw_in1k,256,79.496,,1280.0,15168.627896629709,84.39141009821428,19.83214973382038,True
TBD,TBD,vit_relpos_medium_patch16_224.sw_in1k,224,82.466,,640.0,12352.47051208765,51.81472166304348,23.928057559012736,True
TBD,TBD,vit_relpos_medium_patch16_cls_224.sw_in1k,224,82.572,,352.0,12148.406654124052,28.97623314634146,24.42409104033398,True
TBD,TBD,vit_relpos_medium_patch16_rpn_224.sw_in1k,224,82.308,,512.0,11440.09637134922,44.75663280188679,26.00994044368781,True
TBD,TBD,vit_relpos_small_patch16_224.sw_in1k,224,81.476,,384.0,16659.48236899637,23.057252854368933,18.1132687887122,True
TBD,TBD,vit_small_patch16_224.augreg_in1k,224,78.842,,1024.0,16561.00472935826,61.835699712418304,18.36896791215354,True
TBD,TBD,vit_small_patch16_224.augreg_in21k_ft_in1k,224,81.414,,320.0,15974.668390818537,20.03200466244726,18.795157583608386,True
TBD,TBD,vit_small_patch16_384.augreg_in1k,384,81.134,,352.0,5159.093429816718,68.22981658992806,58.14537246984345,True
TBD,TBD,vit_small_patch16_384.augreg_in21k_ft_in1k,384,83.804,,320.0,5124.779933903982,62.443013434210535,58.89137605253043,True
TBD,TBD,vit_small_patch32_224.augreg_in21k_ft_in1k,224,75.996,,3840.0,58370.71997128553,65.7876557862069,5.052592037569612,True
TBD,TBD,vit_small_patch32_384.augreg_in21k_ft_in1k,384,80.482,,1536.0,18755.831333887945,81.89600131896553,15.706648473621527,True
TBD,TBD,vit_small_r26_s32_224.augreg_in21k_ft_in1k,224,81.844,,1024.0,6523.824394254468,156.97125961666669,45.75135982153338,True
TBD,TBD,vit_small_r26_s32_384.augreg_in21k_ft_in1k,384,84.074,,256.0,2113.539443978176,121.132314,142.56255114929837,True
TBD,TBD,vit_srelpos_medium_patch16_224.sw_in1k,224,82.25,,512.0,12011.080335203817,42.63067479820628,24.394987036374985,True
TBD,TBD,vit_srelpos_small_patch16_224.sw_in1k,224,81.108,,640.0,16850.278114103075,37.992626756,17.6615595805075,True
TBD,TBD,vit_tiny_patch16_224.augreg_in21k_ft_in1k,224,75.452,,1536.0,33871.48592176267,45.34943186124402,8.994442690486599,True
TBD,TBD,vit_tiny_patch16_384.augreg_in21k_ft_in1k,384,78.446,,640.0,10665.180100874226,60.008659101265835,28.24847253366416,True
TBD,TBD,vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k,224,71.82,,2560.0,30571.479674034126,83.74948632743363,9.600101622727912,True
TBD,TBD,vit_tiny_r_s16_p8_384.augreg_in21k_ft_in1k,384,75.962,,512.0,10492.984852948388,48.7976078051282,28.40750147540645,True
TBD,TBD,vit_wee_patch16_reg1_gap_256.sbb_in1k,256,80.268,,384.0,14513.931717078203,26.458217871866296,20.952799213764507,True
TBD,TBD,volo_d1_224.sail_in1k,224,84.152,,,,,,True
TBD,TBD,volo_d1_384.sail_in1k,384,85.266,,,,,,True
TBD,TBD,volo_d2_224.sail_in1k,224,85.202,,,,,,True
TBD,TBD,volo_d2_384.sail_in1k,384,86.058,,,,,,True
TBD,TBD,volo_d3_224.sail_in1k,224,85.442,,,,,,True
